stock,fc_date,future_days,future_low,reachability,0.5%_up,uptonow_epochs
sh999999,2020-12-29,2,28.81321907043457,50.54,55.24,3
sh999999,2020-12-29,2,28.758560180664066,43.41,52.28,63
sh999999,2020-12-29,2,28.38892936706543,42.74,52.28,123
sh999999,2020-12-29,2,28.393800735473643,67.2,75.54,183
sh999999,2020-12-29,2,28.77494812011719,54.63,63.76,243
sh999999,2020-12-29,2,28.66073226928711,52.08,62.42,303
sh999999,2020-12-29,2,28.265724182128906,66.53,72.58,318
sh999999,2020-12-29,2,28.27709579467773,69.89,77.55,333
sh999999,2020-12-29,2,28.76482582092285,47.45,58.47,348
sh999999,2020-12-29,2,28.82949447631836,65.77,73.29,363
sh999999,2020-12-29,2,28.710559844970703,60.27,69.66,378
sh999999,2020-12-29,2,29.06084251403809,49.93,61.21,393
sh999999,2020-12-29,2,29.22834396362305,62.95,69.4,408
sh999999,2020-12-29,2,28.597108840942386,31.54,40.67,423
sh999999,2020-12-29,2,28.265708923339844,45.43,55.78,438
sh999999,2020-12-29,2,28.27574920654297,62.77,70.16,453
sh999999,2020-12-29,2,28.5446891784668,55.11,63.84,468
sh999999,2020-12-29,2,28.78254508972168,47.92,59.19,483
sh999999,2020-12-29,2,28.720500946044922,65.91,73.96,498
sh999999,2020-12-29,2,29.22937202453613,40.27,53.02,513
sh999999,2020-12-29,2,29.320762634277344,28.46,41.34,528
sh999999,2020-12-29,2,28.3865966796875,72.21,78.26,543
sh999999,2020-12-29,2,28.648521423339844,48.93,58.71,558
sh999999,2020-12-29,2,29.45537185668945,21.05,28.02,573
sh999999,2020-12-29,2,29.4698486328125,75.2,81.37,588
sh999999,2020-12-29,2,30.753314971923828,59.79,67.02,603
sh999999,2020-12-29,2,30.41070938110352,42.76,55.63,618
sh999999,2020-12-29,2,30.1816349029541,62.52,70.55,633
sh999999,2020-12-29,2,29.792896270751953,44.58,54.08,648
sh999999,2020-12-29,2,28.411190032958984,48.79,59.14,663
sh999999,2020-12-29,2,28.26539802551269,69.62,77.15,678
sh999999,2020-12-29,2,28.45108795166016,43.55,54.3,693
sh999999,2020-12-29,2,28.90146064758301,34.9,47.11,708
sh999999,2020-12-29,2,28.50726127624512,48.19,57.18,723
sh999999,2020-12-29,2,29.256013870239247,36.11,48.72,738
sh999999,2020-12-29,2,29.54167366027832,26.04,39.06,753
sh999999,2020-12-29,2,28.72304725646973,40.0,49.66,768
sh999999,2020-12-29,2,28.45785713195801,66.76,72.52,783
sh999999,2020-12-29,2,28.988679885864247,77.75,82.44,798
sh999999,2020-12-29,2,29.63217353820801,74.4,80.29,813
sh999999,2020-12-29,2,30.65550994873047,37.13,49.06,828
sh999999,2020-12-29,2,30.16620445251465,67.16,74.53,843
sh999999,2020-12-29,2,29.994014739990234,48.86,58.63,858
sh999999,2020-12-29,2,30.13744735717773,40.7,53.68,873
sh999999,2020-12-29,2,28.31074333190918,60.75,67.34,888
sh999999,2020-12-29,2,28.28701591491699,52.42,61.96,903
sh999999,2020-12-29,2,28.36693000793457,83.6,86.16,918
sh999999,2020-12-29,2,28.55865859985352,46.98,58.26,933
sh999999,2020-12-29,2,29.0069522857666,46.85,58.39,948
sh999999,2020-12-29,2,28.97382354736328,46.04,55.57,963
sh999999,2020-12-29,2,28.809511184692386,53.02,61.07,978
sh999999,2020-12-29,2,28.41718673706055,54.09,64.56,993
sh999999,2020-12-29,2,28.72863006591797,77.08,82.71,1008
sh999999,2020-12-29,2,29.15746116638184,79.62,84.05,1023
sh999999,2020-12-29,2,28.355642318725586,58.6,65.46,1083
sh999999,2020-12-29,2,28.30532455444336,58.47,68.28,1143
sh999999,2020-12-29,2,28.50585556030273,54.03,65.32,1203
sh999999,2020-12-29,2,28.77399253845215,57.05,67.65,1263
sh999999,2020-12-29,2,28.65273857116699,51.68,63.89,1323
sh999999,2020-12-29,2,29.3005313873291,44.7,55.7,1383
sh999999,2020-12-29,2,29.222393035888672,68.99,76.64,1443
sh999999,2020-12-29,2,28.61431884765625,29.53,42.82,1503
sh999999,2020-12-29,2,28.878602981567386,71.58,77.21,1563
sh999999,2020-12-29,2,29.25610160827637,48.79,58.98,1623
sh999999,2020-12-29,2,29.82040596008301,73.32,78.55,1683
sh999999,2020-12-29,2,30.75145721435547,34.05,47.05,1743
sh999999,2020-12-29,2,29.987911224365234,70.11,77.08,1803
sh999999,2020-12-29,2,30.306415557861328,31.99,42.84,1863
sh999999,2020-12-29,2,29.69231986999512,52.48,61.31,1923
sh999999,2020-12-29,2,29.439104080200195,52.88,63.72,1983
sh999999,2020-12-29,2,29.31432914733887,63.86,72.42,2043
sh999999,2020-12-29,2,28.86884307861328,37.88,51.94,2103
sh999999,2020-12-29,2,28.642765045166016,48.13,61.5,2163
sh999999,2020-12-29,2,28.06330108642578,63.64,73.26,2223
sh999999,2020-12-29,2,28.59954261779785,49.73,62.97,2283
sh999999,2020-12-29,2,27.86783599853516,47.33,59.22,2343
sh999999,2020-12-29,2,28.134544372558594,53.61,64.44,2403
sh999999,2020-12-29,2,28.65427589416504,64.22,71.83,2463
sh999999,2020-12-29,2,28.523386001586914,55.94,66.76,2523
sh999999,2020-12-29,2,28.471588134765625,76.23,81.71,2583
sh999999,2020-12-29,2,28.0904598236084,64.49,72.76,2643
sh999999,2020-12-29,2,27.89909362792969,43.39,59.81,2703
sh999999,2020-12-29,2,27.85118293762207,42.67,56.4,2763
sh999999,2020-12-29,2,28.415142059326172,63.58,71.91,2793
sh999999,2020-12-29,2,28.41160011291504,40.05,52.02,2823
sh999999,2020-12-29,2,28.404298782348643,60.35,70.97,2853
sh999999,2020-12-29,2,28.78427505493164,36.11,46.04,2883
sh999999,2020-12-29,2,28.98552703857422,37.05,52.21,2913
sh999999,2020-12-29,2,28.77009201049805,28.49,41.4,2943
sh999999,2020-12-29,2,28.58310890197754,39.11,52.42,2973
sh999999,2020-12-29,2,28.327117919921875,59.41,68.15,3003
sh999999,2020-12-29,2,28.64876365661621,38.52,47.52,3033
sh999999,2020-12-29,2,28.72654151916504,29.84,41.26,3063
sh999999,2020-12-29,2,28.76254653930664,42.47,54.7,3093
sh999999,2020-12-29,2,28.51734733581543,50.27,62.63,3123
sh999999,2020-12-29,2,28.642070770263672,37.99,46.85,3153
sh999999,2020-12-29,2,28.995258331298828,27.25,40.0,3183
sh999999,2020-12-29,2,29.380882263183594,57.32,68.59,3213
sh999999,2020-12-29,2,28.76987648010254,68.86,76.51,3243
sh999999,2020-12-29,2,28.585865020751953,77.18,82.15,3273
sh999999,2020-12-29,2,28.495342254638672,59.12,67.02,3303
sh999999,2020-12-29,2,29.339712142944336,43.7,55.5,3333
sh999999,2020-12-29,2,29.938440322875977,33.78,45.98,3363
sh999999,2020-12-29,2,30.74358367919922,43.43,56.97,3393
sh999999,2020-12-29,2,30.36248207092285,56.57,67.69,3423
sh999999,2020-12-29,2,30.37688636779785,38.69,50.33,3453
sh999999,2020-12-29,2,28.67205238342285,44.09,54.84,3483
sh999999,2020-12-29,2,28.639312744140625,47.18,57.8,3513
sh999999,2020-12-29,2,28.62885284423828,34.27,49.33,3543
sh999999,2020-12-29,2,28.68345642089844,38.98,52.96,3573
sh999999,2020-12-29,2,28.69235038757324,30.24,45.43,3603
sh999999,2020-12-29,2,28.62342071533203,51.21,65.19,3633
sh999999,2020-12-29,2,28.749357223510746,74.09,80.4,3663
sh999999,2020-12-29,2,28.90896034240723,38.79,53.83,3693
sh999999,2020-12-29,2,29.41471290588379,74.5,79.6,3723
sh999999,2020-12-29,2,28.755413055419922,71.41,77.85,3753
sh999999,2020-12-29,2,28.69162178039551,53.83,66.44,3783
sh999999,2020-12-29,2,29.07075119018555,53.35,64.75,3813
sh999999,2020-12-29,2,29.43683433532715,37.4,51.21,3843
sh999999,2020-12-29,2,29.87871742248535,39.95,53.35,3873
sh999999,2020-12-29,2,30.65344619750977,77.21,81.77,3903
sh999999,2020-12-29,2,30.423887252807607,67.29,75.6,3933
sh999999,2020-12-29,2,30.29448890686035,49.67,64.26,3963
sh999999,2020-12-29,2,29.99255180358887,31.59,46.72,3993
sh999999,2020-12-29,2,29.39986801147461,62.52,71.35,4023
sh999999,2020-12-29,2,29.470447540283203,40.96,54.89,4053
sh999999,2020-12-29,2,29.06632804870605,51.0,63.72,4083
sh999999,2020-12-29,2,28.70092391967773,59.89,68.98,4113
sh999999,2020-12-29,2,28.131975173950195,59.63,69.79,4143
sh999999,2020-12-29,2,28.50766372680664,32.49,44.12,4173
sh999999,2020-12-29,2,28.215362548828125,47.46,60.56,4203
sh999999,2020-12-29,2,28.27085876464844,33.96,44.52,4233
sh999999,2020-12-29,2,28.42506217956543,74.46,79.17,4263
sh999999,2020-12-29,2,28.55239677429199,58.2,69.35,4293
sh999999,2020-12-29,2,28.777048110961914,37.63,51.61,4323
sh999999,2020-12-29,2,28.706771850585927,75.03,81.61,4353
sh999999,2020-12-29,2,28.87262344360352,41.21,57.05,4383
sh999999,2020-12-29,2,29.39125633239746,54.36,66.31,4413
sh999999,2020-12-29,2,28.866382598876953,77.05,82.15,4443
sh999999,2020-12-29,2,28.814327239990234,51.68,64.97,4473
sh999999,2020-12-29,2,28.670673370361328,61.53,72.12,4503
sh999999,2020-12-29,2,29.37863540649414,63.94,73.19,4533
sh999999,2020-12-29,2,29.716352462768555,50.13,61.39,4563
sh999999,2020-12-29,2,30.87120819091797,46.25,59.12,4593
sh999999,2020-12-29,2,30.31180000305176,69.03,77.48,4623
sh999999,2020-12-29,2,30.360048294067386,36.28,49.8,4653
sh999999,2020-12-29,2,29.698354721069336,63.59,72.02,4683
sh999999,2020-12-29,2,29.51671028137207,40.29,53.82,4713
sh999999,2020-12-29,2,29.653499603271484,58.63,68.14,4743
sh999999,2020-12-29,2,28.855358123779297,66.27,72.96,4773
sh999999,2020-12-29,2,28.32849502563477,33.42,42.51,4803
sh999999,2020-12-29,2,28.185895919799805,60.96,73.53,4833
sh999999,2020-12-29,2,28.51274108886719,35.56,50.67,4863
sh999999,2020-12-29,2,28.111690521240234,54.28,66.71,4893
sh999999,2020-12-29,2,28.19201850891113,57.75,69.65,4923
sh999999,2020-12-29,2,28.69198036193848,46.86,59.95,4953
sh999999,2020-12-29,2,28.39679908752441,73.12,78.9,4983
sh999999,2020-12-29,2,28.685436248779297,48.12,61.16,5013
sh999999,2020-12-29,2,28.439292907714844,56.85,67.47,5043
sh999999,2020-12-29,2,28.6354923248291,58.87,69.62,5073
sh999999,2020-12-29,2,28.76944732666016,30.24,45.3,5103
sh999999,2020-12-29,2,28.7965087890625,83.36,86.17,5133
sh999999,2020-12-29,2,28.85784721374512,52.08,65.23,5163
sh999999,2020-12-29,2,29.355098724365234,73.69,79.87,5193
sh999999,2020-12-29,2,29.11483764648437,34.36,45.91,5223
sh999999,2020-12-29,2,28.772878646850586,56.78,68.32,5253
sh999999,2020-12-29,2,28.9864559173584,57.1,67.02,5283
sh999999,2020-12-29,2,29.414026260375977,36.46,49.87,5313
sh999999,2020-12-29,2,28.692241668701172,25.54,35.08,5343
sh999999,2020-12-29,2,28.743022918701172,29.7,43.01,5373
sh999999,2020-12-29,2,28.66802024841309,29.03,43.82,5403
sh999999,2020-12-29,2,28.809814453125,58.12,70.34,5433
sh999999,2020-12-29,2,28.72531700134277,41.61,55.7,5463
sh999999,2020-12-29,2,29.39534568786621,42.28,53.96,5493
sh999999,2020-12-29,2,28.71260070800781,69.8,76.51,5523
sh999999,2020-12-29,2,28.66300392150879,56.78,67.38,5553
sh999999,2020-12-29,2,28.96401786804199,57.64,67.29,5583
sh999999,2020-12-29,2,29.347042083740234,69.57,77.08,5613
sh999999,2020-12-29,2,29.801982879638672,75.34,79.89,5643
sh999999,2020-12-29,2,30.91613578796387,51.88,64.08,5673
sh999999,2020-12-29,2,30.275304794311523,68.1,75.6,5703
sh999999,2020-12-29,2,30.07471466064453,62.25,71.35,5733
sh999999,2020-12-29,2,29.89910888671875,61.45,70.82,5763
sh999999,2020-12-29,2,28.4476318359375,50.67,61.56,5823
sh999999,2020-12-29,2,28.632768630981445,43.55,56.45,5883
sh999999,2020-12-29,2,28.78900718688965,28.23,41.94,5943
sh999999,2020-12-29,2,28.809051513671875,47.92,58.26,6003
sh999999,2020-12-29,2,28.85239028930664,53.15,64.83,6063
sh999999,2020-12-29,2,29.28779602050781,77.18,82.01,6123
sh999999,2020-12-29,2,29.100528717041016,74.5,80.54,6183
sh999999,2020-12-29,2,28.93380355834961,26.98,38.93,6243
sh999999,2020-12-29,2,29.04646873474121,48.93,61.39,6303
sh999999,2020-12-29,2,29.144195556640625,67.69,76.01,6363
sh999999,2020-12-29,2,29.731964111328125,56.3,67.96,6423
sh999999,2020-12-29,2,31.00114440917969,37.94,52.55,6483
sh999999,2020-12-29,2,30.32752990722656,62.47,72.39,6543
sh999999,2020-12-29,2,30.46649169921875,56.49,68.81,6603
sh999999,2020-12-29,2,29.88284683227539,59.97,68.41,6663
sh999999,2020-12-29,2,29.368881225585927,73.76,79.52,6723
sh999999,2020-12-29,2,29.66158676147461,45.78,58.77,6783
sh999999,2020-12-29,2,28.74622917175293,33.47,43.64,6843
sh999999,2020-12-29,2,28.518463134765625,33.16,43.72,6903
sh999999,2020-12-29,2,28.142108917236328,59.09,69.52,6963
sh999999,2020-12-29,2,28.090076446533203,60.83,69.92,7023
sh999999,2020-12-29,2,28.4483699798584,72.18,78.9,7053
sh999999,2020-12-29,2,28.96579360961914,39.25,54.17,7083
sh999999,2020-12-29,2,28.654748916625977,57.93,68.68,7113
sh999999,2020-12-29,2,28.66931915283203,50.27,60.48,7143
sh999999,2020-12-29,2,28.878332138061523,43.01,58.06,7173
sh999999,2020-12-29,2,28.66456413269043,58.33,67.88,7203
sh999999,2020-12-29,2,28.621416091918945,54.09,65.23,7233
sh999999,2020-12-29,2,28.83821678161621,49.53,62.82,7263
sh999999,2020-12-29,2,29.571208953857425,44.03,56.64,7293
sh999999,2020-12-29,2,28.653459548950195,50.67,61.56,7323
sh999999,2020-12-29,2,28.87351036071777,48.39,61.56,7353
sh999999,2020-12-29,2,28.669883728027344,57.66,68.01,7383
sh999999,2020-12-29,2,28.63719749450684,57.32,68.59,7413
sh999999,2020-12-29,2,28.862163543701172,51.54,64.97,7443
sh999999,2020-12-29,2,29.43411445617676,42.01,57.72,7473
sh999999,2020-12-29,2,29.195484161376953,67.11,75.3,7503
sh999999,2020-12-29,2,28.82737922668457,76.24,81.34,7533
sh999999,2020-12-29,2,29.033803939819336,48.53,62.06,7563
sh999999,2020-12-29,2,29.18276405334473,55.36,65.01,7593
sh999999,2020-12-29,2,29.67673683166504,75.87,80.43,7623
sh999999,2020-12-29,2,31.090129852294922,37.94,52.95,7653
sh999999,2020-12-29,2,30.2825984954834,66.89,75.07,7683
sh999999,2020-12-29,2,30.333702087402344,59.97,70.28,7713
sh999999,2020-12-29,2,29.9565372467041,60.91,69.48,7743
sh999999,2020-12-29,2,29.37318229675293,47.79,60.91,7773
sh999999,2020-12-29,2,29.65500259399414,20.88,28.38,7803
sh999999,2020-12-29,2,28.71628189086914,49.67,62.25,7833
sh999999,2020-12-29,2,28.77423477172852,53.61,64.71,7863
sh999999,2020-12-29,2,28.116985321044922,60.56,70.99,7893
sh999999,2020-12-29,2,28.59689903259277,35.7,50.27,7923
sh999999,2020-12-29,2,15.977011680603027,43.78,56.63,7953
sh999999,2020-12-29,2,15.602436065673828,54.28,65.33,7983
sh999999,2020-12-29,2,15.669438362121582,59.45,69.38,8013
sh999999,2020-12-29,2,15.469633102416992,57.52,65.79,8043
sh999999,2020-12-29,2,15.292855262756348,64.83,72.55,8073
sh999999,2020-12-29,2,15.443400382995605,50.9,62.62,8103
sh999999,2020-12-29,2,15.399258613586426,68.14,75.86,8133
sh999999,2020-12-29,2,15.281586647033693,50.69,60.33,8163
sh999999,2020-12-29,2,15.22438144683838,42.98,56.61,8193
sh999999,2020-12-29,2,15.079248428344727,59.23,67.77,8223
sh999999,2020-12-29,2,15.009591102600098,52.89,63.09,8253
sh999999,2020-12-29,2,15.18821907043457,52.89,63.36,8283
sh999999,2020-12-29,2,15.194183349609375,55.85,65.34,8313
sh999999,2020-12-29,2,15.282291412353516,66.16,73.59,8343
sh999999,2020-12-29,2,15.205697059631348,60.66,71.25,8373
sh999999,2020-12-29,2,15.152337074279785,51.72,62.17,8403
sh999999,2020-12-29,2,14.94052028656006,51.31,62.86,8433
sh999999,2020-12-29,2,14.626334190368652,43.82,57.42,8463
sh999999,2020-12-29,2,14.793841361999512,57.28,67.86,8493
sh999999,2020-12-29,2,15.51255702972412,52.06,62.64,8523
sh999999,2020-12-29,2,15.510248184204102,57.42,67.17,8553
sh999999,2020-12-29,2,15.33518886566162,45.74,59.75,8583
sh999999,2020-12-29,2,15.060136795043945,51.71,62.55,8613
sh999999,2020-12-29,2,15.160468101501465,53.5,64.2,8643
sh999999,2020-12-29,2,14.777183532714846,66.8,73.66,8673
sh999999,2020-12-29,2,14.844393730163574,60.91,72.7,8703
sh999999,2020-12-29,2,15.153712272644045,54.05,65.84,8733
sh999999,2020-12-29,2,14.995713233947756,62.74,72.33,8763
sh999999,2020-12-29,2,14.64218521118164,55.89,65.75,8793
sh999999,2020-12-29,2,15.840177536010742,63.81,72.38,8823
sh999999,2020-12-29,2,15.582589149475098,55.52,65.33,8853
sh999999,2020-12-29,2,15.695416450500488,53.38,64.0,8883
sh999999,2020-12-29,2,15.52019500732422,55.17,63.31,8913
sh999999,2020-12-29,2,15.350797653198242,57.79,68.97,8943
sh999999,2020-12-29,2,15.377994537353516,65.24,72.55,8973
sh999999,2020-12-29,2,15.532371520996096,56.14,67.31,9003
sh999999,2020-12-29,2,15.294301986694336,60.19,70.11,9033
sh999999,2020-12-29,2,15.166234016418455,46.01,58.26,9063
sh999999,2020-12-29,2,15.115903854370115,51.65,63.36,9093
sh999999,2020-12-29,2,15.085929870605467,38.71,50.14,9123
sh999999,2020-12-29,2,15.114374160766602,47.25,59.09,9153
sh999999,2020-12-29,2,15.242114067077635,53.51,64.1,9183
sh999999,2020-12-29,2,15.270419120788574,67.13,73.31,9213
sh999999,2020-12-29,2,15.34646701812744,48.01,58.73,9243
sh999999,2020-12-29,2,15.061620712280273,62.31,71.53,9273
sh999999,2020-12-29,2,14.954089164733887,51.72,63.0,9303
sh999999,2020-12-29,2,14.641379356384276,48.63,60.85,9333
sh999999,2020-12-29,2,14.727855682373047,63.19,72.66,9363
sh999999,2020-12-29,2,15.499704360961914,58.79,68.27,9393
sh999999,2020-12-29,2,15.483819961547852,58.38,69.92,9423
sh999999,2020-12-29,2,15.204180717468262,58.79,70.74,9453
sh999999,2020-12-29,2,15.112876892089846,48.83,59.26,9483
sh999999,2020-12-29,2,15.155736923217773,50.62,62.83,9513
sh999999,2020-12-29,2,14.83631420135498,52.26,64.06,9543
sh999999,2020-12-29,2,14.994086265563965,47.46,60.22,9573
sh999999,2020-12-29,2,15.12983512878418,58.16,69.0,9603
sh999999,2020-12-29,2,14.957408905029295,66.71,75.62,9633
sh999999,2020-12-29,2,14.67413330078125,49.86,62.74,9663
sh999999,2020-12-29,2,15.843072891235352,63.12,72.93,9678
sh999999,2020-12-29,2,15.681724548339846,47.51,61.88,9693
sh999999,2020-12-29,2,15.65882682800293,55.17,66.34,9708
sh999999,2020-12-29,2,15.425912857055664,63.45,72.55,9723
sh999999,2020-12-29,2,15.294315338134766,64.41,72.41,9738
sh999999,2020-12-29,2,15.53516674041748,45.79,56.28,9753
sh999999,2020-12-29,2,15.613882064819336,43.31,54.9,9768
sh999999,2020-12-29,2,15.315667152404785,54.68,65.7,9783
sh999999,2020-12-29,2,15.101068496704102,57.58,66.94,9798
sh999999,2020-12-29,2,15.140495300292967,48.35,59.78,9813
sh999999,2020-12-29,2,14.957049369812012,48.62,59.64,9828
sh999999,2020-12-29,2,15.062873840332033,54.27,62.67,9843
sh999999,2020-12-29,2,15.20534896850586,58.18,68.5,9858
sh999999,2020-12-29,2,15.240723609924315,72.49,80.19,9873
sh999999,2020-12-29,2,15.124584197998047,66.71,76.75,9888
sh999999,2020-12-29,2,15.078475952148438,62.72,71.25,9903
sh999999,2020-12-29,2,14.92799472808838,57.77,67.54,9918
sh999999,2020-12-29,2,14.656065940856935,45.47,58.1,9933
sh999999,2020-12-29,2,14.806313514709473,50.82,63.19,9948
sh999999,2020-12-29,2,15.514001846313475,68.13,75.96,9963
sh999999,2020-12-29,2,15.610868453979492,46.57,59.89,9978
sh999999,2020-12-29,2,15.307516098022461,60.16,69.78,9993
sh999999,2020-12-29,2,15.1529541015625,47.05,59.26,10008
sh999999,2020-12-29,2,15.200176239013672,47.46,60.91,10023
sh999999,2020-12-29,2,14.887398719787598,50.62,62.0,10038
sh999999,2020-12-29,2,14.94700527191162,49.38,62.55,10053
sh999999,2020-12-29,2,15.173392295837402,51.03,62.83,10068
sh999999,2020-12-29,2,14.940375328063965,62.88,72.05,10083
sh999999,2020-12-29,2,14.542190551757812,61.64,71.1,10098
